Personnage,Réplique
BOHORT,Cousins ! Rendez-vous compte ! Nous sommes cousins germains !
LANCELOT,Bohort ! Vous allez me promettre de garder ça pour vous !
BOHORT,Mais pourquoi ? Il faut faire une grande fête pour célébrer nos retrouvailles !
LANCELOT,Il n’en est pas question ! Un Chevalier solitaire n’a pas de cousin ! Je vous somme de tenir la chose secrète !
BOHORT,Mais Karadoc a déjà vendu la mèche à propos de votre père !
BOHORT,Seigneur Lancelot ! Qu’est-ce que vous faites !
GUENIÈVRE,Je vous dis que le Seigneur Perceval vous porte une affection sincère !
GUENIÈVRE,C’est pas parce qu’il les regarde qu’il part avec ! Tous les hommes regardent les femmes…
ANGHARAD,Il y en a que ça rebute pas !
GUENIÈVRE,Perceval ? Tuer quelqu’un ?
ANGHARAD,Eh ben quoi ?
GUENIÈVRE,Ah mais c’est pour ça que vous l’aimez tant… vous ne le connaissez pas du tout !
ARTHUR,Pourquoi la fête du marron ?
BOHORT,Ben parce que c’est l’époque des marrons…
DAME MEVANWI,Sire !
DAME MEVANWI,Qu’est-ce qui se passe ?
ARTHUR,Comment ?
ARTHUR,Non mais c’est vous qui dites « Sire »…
DAME MEVANWI,Je dis « Sire » pour vous saluer !
DAME MEVANWI,Bon… Je vous souhaite une bonne journée. (avec une petite révérence) Seigneur Bohort…
ARTHUR,Quoi ?
BOHORT,Rien.
ARTHUR,Quoi ?
BOHORT,Mais rien ! J’ai rien dit !
ARTHUR,Hé… Ho !
ARTHUR,Chut !
ARTHUR,Ho !
GUENIÈVRE,Hein ?
GUENIÈVRE,Qu’est-ce qui se passe ?
ARTHUR,Il se passe que vous ronflez et j’en ai marre.
GUENIÈVRE,Excusez-moi.
KARADOC,Ah voilà. Je me disais : « Je suis pas dans mon assiette. »
ARTHUR,Non mais non. C'est tout. Non.
VENEC,Mais non quoi ?
VENEC,Deux semaines ! Le temps de trouver preneur !
ARTHUR,Bravo pour la tarte !
VENEC,De quoi ?
VENEC,Rien.
ARTHUR,Quoi ?
VENEC,Mais rien ! J’ai rien dit !
ARTHUR,Sans déconner : quoi ?
ARTHUR,Mmh ?
KAY,Les jouteurs sont prêts à s’élancer…
ARTHUR,Non… il m’a pas semblé…
GUENIÈVRE,Je sais mais ça fait pas pareil…
YVAIN,Ils attendent votre décision !
KAY,Les huées ?
KAY,Le peuple va pas comprendre !
ARTHUR,C’est une tradition…
KAY,J’appelle les suivants !
GUENIÈVRE,Mais il y en a encore combien ?
ARTHUR,J’en ai marre…
GUENIÈVRE,Plus chiant que le reste ?
ARTHUR,Super.
LANCELOT,Quoi ?
YVAIN,Beaucoup de provocation des deux côtés de la ligne…
CALOGRENANT,Sans blague ? Et combien vous êtes ?
KAY,Allez vous mettre plus loin ! Vous êtes pas sur la piste !
GUENIÈVRE,Ben… heureusement qu’il y a pas des tournois tous les jours…
YVAIN,Un tournoi qui se déroule aussi bien dans les tribunes…
MERLIN,Hourra !
MERLIN,Hourra !
MERLIN,Hourra !
MERLIN,Hourra !
MERLIN,Hourra !
ARTHUR,C’est bibi qui a trouvé quoi ?
MERLIN,Tous les Enchanteurs… depuis toujours… Me dites pas que vous avez pas compris !
MERLIN,La Pierre de Lune ! La pierre qui transforme la viande de chèvre en eau.
ARTHUR,Je suis désolé mais ça fait pas des siècles et des siècles que les Enchanteurs courent après une pierre qui transforme la viande de chèvre en eau…
MERLIN,Ben si…
MERLIN,Vous êtes sûr ?
ARTHUR,Certain.
ARTHUR,Le plomb en or.
MERLIN,Bah je vous l’ai dit : ça transforme la viande de chèvre en eau.
LÉODAGAN,D’où ma question : ça sert à quoi ?
ARTHUR,Admettons…
ARTHUR,Ah bon ?
MERLIN,Vous voulez vraiment pas la buter ?
ARTHUR,Non.
LANCELOT,Comment ça « C’est bon la bouffe » ?
LANCELOT,Voilà quoi ? Qu’est-ce qui arrive ?
ARTHUR,Vous allez pas me dire qu’on n’a plus de barbaque !
MERLIN,On a de l’eau douce !
CALOGRENANT,De l’eau douce ? Mais on s’est installés à côté du ruisseau exprès !
LANCELOT,Et vous pouvez pas inverser le sort ? Transformer l’eau douce en viande ?
ARTHUR,La Pierre Philosophale ? Vous vous foutez de moi ?
LÉODAGAN,Bon bah allez ! On va chercher le plomb !
LÉODAGAN,L’utilité de changer le plomb en or ? C’est pourtant pas sorcier !
LÉODAGAN,En eau ?
ANGHARAD,Mais il en a pas !
ANGHARAD,À mon avis ? Pas plus d’une trentaine.
GUENIÈVRE,Je ne sais pas si c’est la bonne tente…
GUENIÈVRE,Heu… eh bien…
GUENIÈVRE,Mais… j’ai pas de maladie de peau !
GUENIÈVRE,Qu’est-ce qui se passe ?
GUENIÈVRE,Qu’est-ce que c’est ?
GUENIÈVRE,Et c’est pas bon ?
GUENIÈVRE,Ah bon… Vous êtes pas cartomancienne…
GUENIÈVRE,Ah d’accord.
GUENIÈVRE,Mais pourquoi ?
GUENIÈVRE,Avec les bourges ? (impressionnée) Vous avez réussi à voir que j’étais de la haute société ?
GUENIÈVRE,Si vous saviez comme j’ai honte. Gaspiller comme ça l’argent du Royaume…
ANGHARAD,Je me permets de rappeler à Madame que je tourne à la même solde depuis trois ans !
GUENIÈVRE,Ça m’apprendra à me mélanger au bas peuple…
GUENIÈVRE,Vous croyez ?
GUENIÈVRE,Avant qu’Arthur mette les pieds chez une pythie…
ARTHUR,Prisca ?
ARTHUR,T’en as pas marre ?
ARTHUR,Comment ?
GUENIÈVRE,Ouahh !
ARTHUR,qu'est-ce qu’il y a ?
GUENIÈVRE,J’aime bien quand vous dites ça…
GUENIÈVRE,Heu… si je peux me permettre… je suis désolée…
ARTHUR,Qu’est-ce qu’il y a ?
ARTHUR,De quoi ?
AELIS,Qu’est-ce qu’elle dit ?
ARTHUR,Mais quoi bon sang ?
DEMETRA,Quoi ? Mais vous êtes gonflée !
ARTHUR,Parce que j’ai des maîtresses qui sont jumelles.
GUENIÈVRE,Et qui ont le même type.
AELIS,Les Latines ? Je vous rappelle que ma famille est ancrée en Carmélide depuis la nuit des temps !
DEMETRA,Bienvenue au château.
DEMETRA,Ah bah bravo !
DEMETRA,Vous allez pas recommencer ?
GUENIÈVRE,C’est une remarque. Je suis la seule à avoir le type celte.
GUENIÈVRE,Quoi ?
AELIS,C’est de la pure logique.
ARTHUR,Votre sœur ?
DEMETRA,Ben évidemment !
GUENIÈVRE,J’adore quand il rêve…
DEMETRA,Vous croyez qu’il rêve ?
DEMETRA,Oui… On dirait un petit chat.
BOHORT,Vous êtes sûr que c’est à mort ?
LANCELOT,Quoi ?
BOHORT,Peut-être que la tradition s’annule dans ce cas-là ! C’est même plus que probable !
LANCELOT,De quels cousins est-ce que vous parlez ?
BOHORT,Mais… vous et moi !
LANCELOT,Je ne suis le cousin de personne.
LANCELOT,Je suis un Chevalier errant ! Je n’ai ni famille ni attache !
BOHORT,Mais c’est complètement idiot !
DAME MEVANWI,Allez !
KARADOC,Mon bouillon de poireaux est bientôt chaud.
KARADOC,Aaaah !
DAME MEVANWI,Qu’est-ce qui se passe ?
PERCEVAL,C’est pas vrai ! C’est tous les mêmes !
GUENIÈVRE,Qu’est-ce qui vous arrive ?
GUENIÈVRE,Vous avez fait un mauvais rêve ?
GUENIÈVRE,Vous voulez me le raconter ?
GUENIÈVRE,Venez…
DEMETRA,Qu’est-ce qui se passe ?
AZILIZ,Il y a quelque chose qui va pas ?
TUMET,Vous avez fait un mauvais rêve ?
ARTHUR,Ben… je sais plus.
GUETHENOC,Non parce que je suis passé par hasard hier matin devant vos enclos…
LÉODAGAN,Empoisonner les vaches ?
ARTHUR,Mais une sélection selon quoi ?
LÉODAGAN,Mais vous êtes complètement dingue !
ARTHUR,Condamnées ? Condamnées par quoi ?
ARTHUR,Mais vous savez que je pourrais parfaitement vous mettre au trou pour un truc pareil !
LÉODAGAN,Les vaches et les moutons ? Mais on bouffe que ça !
GUETHENOC,Le lait aussi.
ARTHUR,Le lait aussi ?
ARTHUR,Vous avez dit les vaches et les moutons !
ARTHUR,Bon Dieu ! Et tout ça pour vous mettre sur la tronche avec l’autre crétin ! Je devrais vous envoyer tous les deux aux galères pendant vingt-cinq ans !
LÉODAGAN,Ouais c’est pas mal mais il y a encore une porte de sortie : « Si demain matin… » ta-ta-ti… Non moi je dis : direct.
PERCEVAL,Non… J’ai pas sommeil.
ARTHUR,C’est peut-être parce que vous avez rien glandé de la journée…
PERCEVAL,Ouais… et puis j’ai plus de tente pour dormir. Ça joue aussi.
ARTHUR,Psychologique ?
PERCEVAL,Non moi je veux dire que ça se passe…
ARTHUR,Vous voulez que je lui ordonne de vous accueillir ?
ARTHUR,On n’a jamais dormi sous la même tente.
ARTHUR,Merde.
ARTHUR,Quoi ?
PERCEVAL,Est-ce que vous croyez qu’il y a des gens qui habitent dans une autre galaxie ?
ARTHUR,Oui.
ARTHUR,Non.
ARTHUR,C’est marrant que vous sentiez pas le moment où il faut s’arrêter !
PERCEVAL,S’arrêter de… ?
ARTHUR,… me faire chier.
ARTHUR,Ah bon ?
LÉODAGAN,Comment qu’est-ce qu’on fait ? On n’a pas dit qu’on se bricolait un casse-graine ?
ARTHUR,Si mais pourquoi c’est vous qui portez les trucs ?
CALOGRENANT,Comment ça ?
ARTHUR,Mais quoi « comment ça ? » Vous coltinez la bouffe des cuisines aux étages !
ARTHUR,De quoi ?
VENEC,Sire !
ARTHUR,Chut !
ARTHUR,Vous m’appelez pas. Il faut que je vous parle des galériens.
VENEC,Ah bon.
VENEC,Heu… comment ça ?
VENEC,Je savais pas que vous connaissiez la tête de vos esclaves… vous en avez tellement…
ARTHUR,Non mais là c’est… c’est pas pareil parce que… Non mais changez pas de conversation !
ARTHUR,Non mais qu’est-ce que c’est que ce cirque ?
ARTHUR,Vous vendez au tavernier des esclaves que je vous ai déjà achetés ?
VENEC,Non mais c’est en plus de chez vous ! C’est quand ils ont fini chez vous qu’ils viennent là !
ARTHUR,Alors quoi ?
ARTHUR,C’est ça. Elle bosse plus du tout à Kaamelott.
VENEC,Tous quoi ?
ARTHUR,Affranchis. Ils sont libres.
VENEC,Comme les liberti à Rome ?
ARTHUR,Exactement.
ARTHUR,Parce que je les paye. Ils préfèrent rester bosser plutôt que de sortir et se faire capturer par des pignoufs dans votre genre !
ARTHUR,Vous me la ramenez à Kaamelott tout de suite ou je vous balance au trou jusqu'à la fin de vos jours !
VENEC,Mais pourquoi ?
ARTHUR,Tiens donc… Je croyais que vous étiez en mission…
PERCEVAL,Ben ouais ! Je reviens de mission.
PERCEVAL,Des puces.
ARTHUR,Quoi ?
ARTHUR,Ah bon ?
LÉODAGAN,Ho putain…
LÉODAGAN,Ça va encore durer huit jours…
GAUVAIN,Il s’est rien passé ?
CALOGRENANT,Vous avez pas rencontré de vieux ?
PERCEVAL,Si… comment vous le savez ?
PERCEVAL,C’est la vieille qui m’a aiguillé sur le vieux ! Je commence par le début !
ARTHUR,Laissez-lui quand-même deux secondes pour en placer une…
ARTHUR,Continuez.
PERCEVAL,Vous voulez que j’invente un prénom de vieux ?
PERCEVAL,J’arrive vers le vieux et je lui fais : « Est-ce que t’as des renseignements sur le
ARTHUR,Bref !
ARTHUR,À part des puces…
PERCEVAL,Ben non… Si ! Il voulait absolument me filer une poignée de clous rouillés… Je les ai pris sinon il m’aurait jamais lâché.
PERCEVAL,Quoi « les quoi » ?
BOHORT,Les Clous de la Sainte-Croix…
ARTHUR,Vous avez ramené les Clous de la Sainte-Croix ?
PERCEVAL,Les ramener ? Vous voulez que je chope le tétanos ou quoi ? Je les ai foutus en l’air !
ARTHUR,Vous avez pas fait ça !
CALOGRENANT,Où est-ce que vous les avez jetés ? Vous vous rappelez ?
ARTHUR,Mais c’est pas vrai mais c’est pas vrai mais c’est pas vrai !
ARTHUR,C’était peut-être pas les Clous de la Sainte-Croix…
PERCEVAL,Pourquoi pas ?
PERCEVAL,Ah bon ?
ARTHUR,Le Saint-Suaire ? Vous avez foutu en l'air le Saint-Suaire ?
LANCELOT,Pourquoi on sort puisqu’on peut pas la voir ?
ARTHUR,Qu’est-ce qui se passe ?
ARTHUR,De votre côté ? De quel côté ?
ARTHUR,Ils sont pas d’accord sur quoi ?
ARTHUR,C’est plus un vase ?
CALOGRENANT,Une corne ? Mais une corne de quoi ?
LÉODAGAN,Non mais vous voyez bien qu’il faut laisser tomber ! C’est n’importe quoi !
BOHORT,La Corne d’Abondance est une corne magique qui ne cesse de se remplir de nourriture sans jamais tarir.
GALESSIN,De nourriture ? Mais qu’est-ce qu’on va faire de ça ?
DAME MEVANWI,Attendez au moins demain matin !
DAME MEVANWI,Mais vous savez même pas où vous allez !
KARADOC,Pardon Sire. Je suis en mission. Je vous raconterai tout.
ARTHUR,Mais qu’est-ce qu’il fabrique ?
DAME MEVANWI,Il part chercher je sais pas quoi… une corne…
ARTHUR,La Corne d’Abondance ? (en colère) Mais qui lui a parlé de ça ? J’avais interdit qu’il soit au courant !
DAME MEVANWI,Le Seigneur Perceval…
ARTHUR,Vous voulez un…
DAME MEVANWI,Un quoi ?
ARTHUR,Je sais pas… un câlin ?
ARTHUR,Dormez tranquille. Je vous promets qu’il risque rien.
ARTHUR,Hein ! Qu’est-ce qu’il y a ?
GAUVAIN,C’est ridicule ! Je ne comprends pas en quoi le fait de se blesser grièvement pourrait être divertissant !
YVAIN,C’est vraiment des trucs de barbares !
KARADOC,C’est la tradition !
YVAIN,Et si on se coupe ! Et que ça saigne !
PERCEVAL,Ben il faut faire gaffe de pas se couper.
KARADOC,Vous y allez doucement !
KARADOC,C’est trop sur l’esquive… c’est tout calculé.
KARADOC,Ils sont pas habitués.
CALOGRENANT,Sire ! Sire !
ARTHUR,Mmmh…
ARTHUR,Qu’est-ce qu’il y a qu’il faut faire de quoi ?
CALOGRENANT,Vous voyez bien que ça va nulle part !
ARTHUR,Ah bon ?
ARTHUR,… qu’à faire à mort…
CALOGRENANT,À mort ? Mais vous n’êtes pas fou ? Vous n’allez pas les faire s’entre-tuer !
ARTHUR,Ah bon ?
ARTHUR,Faut faire le signe ?
YVAIN,Je l’ai su à une époque mais je m’en souviens plus…
GAUVAIN,De vieillesse ?
CALOGRENANT,Allez les gars… quand faut y aller…
YVAIN,Est-ce que ça vous divertit ?
ARTHUR,À mort ?
GAUVAIN,C’est pas vous qui avez demandé ça ?
YVAIN,Avec le pouce baissé ?
ARTHUR,Bah ouais… le public m’a vu tendre le pouce ?
GAUVAIN,Heu… a priori…
GAUVAIN,C’est tout à fait possible que personne n’ait rien remarqué.
ARTHUR,Il y en a un des deux qui est mort ou pas ?
CALOGRENANT,Ça me semble jouable…
CALOGRENANT,C’est-à-dire ?
ARTHUR,Je suis pas dans mon assiette.
LÉODAGAN,Qu’est-ce qui vous turlupine ?
LÉODAGAN,Ah ça…
LÉODAGAN,On reçoit des Chefs de Guerre ennemis… C’est pourtant pas la première fois !
ARTHUR,Qu’est-ce qu’ils foutent mais qu’est-ce qu’ils foutent ?
LÉODAGAN,Mais ils vont bien finir par arriver ! Vous êtes pressé ?
LÉODAGAN,Vous inquiétez pas ! On va négocier ça aux oignons…
ARTHUR,Aux oignons… Je vous rappelle qu’il y en a un qui parle pas la langue et l’autre qui la parle mais on comprend pas ce qu’il dit !
LÉODAGAN,On va commencer par les mettre dans de bonnes dispositions avec un bon gueuleton.
ARTHUR,Vous avez les cadeaux ?
LÉODAGAN,Les cadeaux ? Quels cadeaux ?
ARTHUR,Comment « quels cadeaux » ? Ceux que je vous ai donnés hier ! Les pigeons blancs !
ARTHUR,Qu’est-ce que vous en avez fait ?
LÉODAGAN,Je les ai lâchés par la fenêtre ! Je peux pas blairer les oiseaux !
LÉODAGAN,Bah. occupez-les à quoi ?
LÉODAGAN,Heu… ouais… On est forts en pommes.
LÉODAGAN,On est forts… (montrant une pomme) en pommes.
LÉODAGAN,Une mèche de cheveux ?
ARTHUR,Je les ai coupées sur une bonniche.
LÉODAGAN,Mais qu’est-ce que vous voulez qu’ils foutent de ça ?
LÉODAGAN,Mais qu’est-ce que vous glandez ?
ARTHUR,On a dit qu’on négociait !
ARTHUR,Je sais ! (au Chef Viking) Je vous donne tout le territoire burgonde.
LÉODAGAN,Quoi ? Mais il est pas à vous…
ARTHUR,Chut !
ARTHUR,Ah ! Voyez ?
LÉODAGAN,Pas possible que ça marche !
ARTHUR,Bravo !
LÉODAGAN,Comment « nous allons chanter » ?
ARTHUR,Qui ça ?
ARTHUR,Une porte dimensionnelle.
PERCEVAL,Ah ouais.
ARTHUR,qu'est-ce qui est dur ?
KARADOC,Une porte truc…
ARTHUR,Comment ça « c’est dur » ?
PERCEVAL,C’est un machin qui peut nous péter à la gueule ou pas ?
KARADOC,C’est juste une porte.
KARADOC,Ah ouais.
ARTHUR,On peut arriver quelque part par ici ou dans un autre pays mais ça peut être à l’autre bout de la galaxie… on peut pas savoir à moins de passer à travers.
KARADOC,Du moment que ça nous pète pas à la tronche.
PERCEVAL,Moi j’y vais si vous voulez.
ARTHUR,Non mais vous le faites exprès ou quoi ? On attend qu’il revienne.
ARTHUR,Mais enfin…
PERCEVAL,Sire ! Vous m’entendez ?
PERCEVAL,Je suis dans une sorte de petite cabane en terre…
ARTHUR,Qu’est-ce que vous voyez ?
ARTHUR,Super ! Et dehors ?
ARTHUR,Deux soleils ?
ARTHUR,Comment ça « je prends un truc » ?
KARADOC,Vous pouvez pas parler plus fort ?
ARTHUR,Il y a un mec qui dort ?
PERCEVAL,Ah non.
ARTHUR,Non ? Aïe…
PERCEVAL,Ah ouais ! Ça fait super bizarre.
PERCEVAL,Et qu’est-ce que je fais avec votre main ?
GUENIÈVRE,Et vous savez pas ce que c'est ?
GUENIÈVRE,Je peux ?
GUENIÈVRE,Vous avez vu que ça bougeait les petits machins ?
PERCEVAL,Non. J’ai remis le bibelot sur l’étagère.
ARTHUR,Bon.
GUENIÈVRE,Quoi ?
GUENIÈVRE,Mais pourquoi ?
ARTHUR,Je pars en campagne dans deux semaines…
GUENIÈVRE,Et alors ?
GUENIÈVRE,Quand même… dans deux semaines !
GUENIÈVRE,J'avoue que j’ai pas bien la notion !
GUENIÈVRE,Hé !
GUENIÈVRE,Ho !
ARTHUR,Hein ! Qu’est-ce qui se passe ?
ARTHUR,Mais qu'est-ce qu’il y a ?
GUENIÈVRE,Je voulais savoir si vous comptiez vous payer ma fiole encore pendant longtemps…
ARTHUR,Comment ?
GUENIÈVRE,Je croyais que vous pouviez pas vous fatiguer !
ARTHUR,Eh ben ?
GUENIÈVRE,Vous allez certainement me soutenir qu’Aelis et vous-même vous êtes sagement endormis dans cette position sans rien faire…
ARTHUR,Ben non puisque je peux pas !
ARTHUR,Oh bah quand même ! On sait se tenir !
GUENIÈVRE,Sur vous.
ARTHUR,« Sur moi… » Il se trouve que j'étais en-dessous à ce moment-là…
GUENIÈVRE,Ah d’accord. Vous me prenez vraiment pour la Reine des pécores !
AELIS,Qu’est-ce qui se passe ? (voyant Guenièvre) Vous êtes là ?
AELIS,Ce soir quand ça ?
AELIS,Bah si…
AELIS,Ah bon ?
ARTHUR,Non. (invitant Aelis à terminer sa phrase) Parce que dans deux semaines…
ARTHUR,Qu’est-ce qui se passe dans deux semaines ?
AELIS,Dans deux semaines ?
ARTHUR,Voilà. Je…
ARTHUR,… pars…
ARTHUR,Je pars en…
AELIS,Voyage ?
ARTHUR,Non. (rectifiant) Si. Parce qu’on a… On a bougé le lit.
GUENIÈVRE,Vous avez bougé le lit ?
ARTHUR,Oui.
GUENIÈVRE,Mais elles sont quand même essoufflées…
ARTHUR,Qu’est-ce qu’il y a ? qu'est-ce qu’il y a ? Vous croyez qu'on a… c’est ça ?
GUENIÈVRE,J’avoue que l’idée m’a traversé l’esprit.
ARTHUR,Eh ben non. Voilà. (aux jumelles) Et pourquoi ?
AZILIZ,Pourquoi quoi ?
ARTHUR,On en a parlé tout à l’heure : (invitant les jumelles à finir la phrase) il faut pas que je me fatigue parce que dans deux semaines… Qu’est-ce qu’il se passe dans deux semaines ?
ARTHUR,Je pars… ?
ARTHUR,Je pars en… ?
TUMET,Voyage ?
ARTHUR,Et voilà. En voyage-campagne.
ARTHUR,Alors ?
GUENIÈVRE,C’est vraiment bien.
ARTHUR,Vous êtes contente ?
ARTHUR,Tenez. Vous portez ça au Seigneur Léodagan et vous lui dites qu’il prépare ses hommes pour demain matin quatre heures.
KAY,Bien Sire.
KAY,Ah !
KAY,Quoi « quoi » ?
ARTHUR,Quoi « quoi quoi » ?
KAY,Il y avait une dame !
ARTHUR,Une dame ?
KAY,Une dame ! (désignant l’endroit de l’apparition) Là !
ARTHUR,Comment « ils dorment debout » ?
LANCELOT,Ils roupillent sur place ! Pas moyen de les bouger !
LANCELOT,Mais… mais qui êtes-vous ?
LANCELOT,Sire !
ARTHUR,De quoi ?
LANCELOT,C’est elle ?
ARTHUR,« C’est elle… « ?
ARTHUR,La Dame du Lac ? Mais où ça ?
LANCELOT,C’est incroyable ! Son visage m'est familier…
ARTHUR,Non mais ne me faites pas un vent en plus ! Ça va bien !
LÉODAGAN,Elle a un problème technique.
ARTHUR,Qui ça ?
LÉODAGAN,De la part ?
LÉODAGAN,Bah… elle est pas mal !
PERCEVAL,Bonjour…
PERCEVAL,Qu’est-ce que vous voulez que je lui dise ?
ARTHUR,Il faut qu’il vous respecte d’entrée ! Dites-lui un truc qui le mette au pas direct !
ARTHUR,Qu’est-ce qui va s’arranger ? La guerre ? Non mais vous allez pas lui dire ça ! Je vous dis de lui mettre le trac !
MERLIN,Eh ben justement : faites-la vous-même !
MERLIN,Mais foutez-moi la paix ! Je vous rappelle pour mémoire que c’est pas pour vous que je travaille ! Vous avez même pas le droit de rentrer dans le labo !
AELIS,Dans ce genre-là ?
DAME SÉLI,Combien ?
AELIS,Cent trente pièces d'or.
AELIS,Vous n’allez pas me dire que vous êtes une femme d’argent ?
DAME SÉLI,Je voyais ça plus intime comme déjeuner…
LÉODAGAN,Plus intime… ? Genre vous et moi ? Vous êtes pas dingue ?
DAME SÉLI,Il se trouve que j'avais à causer en privé avec celui-là.
LÉODAGAN,Causer en privé ? De mieux en mieux !
ARTHUR,Allez donc causer dans les douves. Vous serez tranquilles.
GUENIÈVRE,Quel vin d’oranges ?
LÉODAGAN,Je vous ai dit que je voulais vous faire goûter mon vin d'oranges du Languedoc…
ARTHUR,Mais ça fait une heure qu’on le siffle votre vin d’oranges… qu'est-ce que vous nous chantez ?
LÉODAGAN,Quoi ?
GUENIÈVRE,C’est pas celui-là ?
LÉODAGAN,Mais non !
LÉODAGAN,C’est quoi ?
DAME SÉLI,Mais c’est pas du vin d’oranges !
ARTHUR,C’est quoi alors ?
DAME SÉLI,C’est… c’est pas du vin d’oranges !
DAME SÉLI,Est-ce que vous vous tapez la cousine de la Duchesse d’Orcanie ?
LÉODAGAN,De quoi ?
DAME SÉLI,Vous voulez que je répète ?
DAME SÉLI,Oui ou merde ?
LÉODAGAN,Merde.
LÉODAGAN,De quoi ?
DAME SÉLI,De çà.
DAME SÉLI,Et vous deux ?
GUENIÈVRE,C’est vraiment pas bon.
DAME SÉLI,Ah non mais vous m’aurez tout fait…
ARTHUR,Je sais.
GUENIÈVRE,Ah bon ?
GUENIÈVRE,J’ai dit ça pour vous donner un peu de grain à moudre…
GUENIÈVRE,C’est pour ça que vous ne me désirez plus ?
ARTHUR,Je vous ai jamais désirée.
GUENIÈVRE,Ah bon… Et est-ce que vous m’aimez ?
ARTHUR,Non.
ARTHUR,Une Potion de Vérité ? Mais vous êtes complètement dingue ou quoi ?
ARTHUR,Pourquoi vous pleurez ?
ARTHUR,Cette Potion de… ?
GUENIÈVRE,De Vérité !
ARTHUR,De Confusion !
GUENIÈVRE,Pardon ?
ARTHUR,Une Potion de Confusion ! Qu’est-ce que vous racontez ?
GUENIÈVRE,Mais alors…
ARTHUR,Il vient pas ? Ah bah j’aimerais bien voir ça !
ARTHUR,Vous allez me le chercher et vous me le descendez à coups de pompe dans le cul !
ARTHUR,Et pourquoi pas ?
ARTHUR,Je vous ai dit de vous lever ! Vous préférez que je foute le feu au pageot ?
BOHORT,Depuis que j’ai cette terrible douleur au mollet ! Je peux à peine poser le pied par terre !
ARTHUR,Eh ben vous ferez le trajet à cloche-pied ! Allez debout !
BOHORT,Prenez Karadoc ! Il a autant de flair qu’un cochon truffier ! Et ses mollets sont en parfait état !
BOHORT,Aaah ! Sire !
BOHORT,Aaah !
BOHORT,Mais… Mais vous ne voulez pas dire qu’on se sépare !
LANCELOT,Mais évidemment que si ! C’est plus sûr !
ARTHUR,Vous n’allez pas recommencer ! Vous avez la place la plus facile !
BOHORT,La plus facile ? Mais je suis tout seul !
LANCELOT,Le Roi vous nettoie le terrain et moi j’arrive derrière si vous vous faites embusquer !
BOHORT,Vous arrivez ? Vous arrivez une heure après !
BOHORT,Raccourcissez au moins le délai !
LANCELOT,C’est… C’est vous qui semez des cailloux ?
BOHORT,Quoi ? Vous n'avez pas fait ça ! Nous sommes perdus ! Nous allons mourir dans cette forêt comme tous ceux qui s’y sont égarés depuis des siècles ! Vous êtes un dément !
LANCELOT,Arrêtez de hurler ! Vous allez attirer l’ennemi !
BOHORT,Eh bien tant mieux ! J’ai besoin de voir du monde !
ARTHUR,Bah… Comment ça se fait que vous arrivez ensemble ?
ARTHUR,Ça m’étonnerait !
LANCELOT,Cet abruti semait des cailloux derrière lui ! Un joli petit parcours fléché !
LANCELOT,Quoi ? Mais c’est pas possible !
BOHORT,Ah ! et cette douleur au mollet qui me reprend soudainement…
ARTHUR,Tout à fait. Ça donne l’occasion à ces jeunes gens de nous montrer de quoi ils sont capables.
GAUVAIN,Un… un château hanté ?
LÉODAGAN,Ah oui… maintenant que vous me le dites…
YVAIN,Mais mon père arrête pas de parler de ça !
YVAIN,C’est comme les probabilités ?
ARTHUR,Oui… (se reprenant) Comment ?
ARTHUR,De devenir quoi ?
YVAIN,C’est pas comme ça que ça s’appelle ?
ARTHUR,C’est pas comme ça que quoi s’appelle ?
ARTHUR,Ceux qui… ? Je comprends rien !
ARTHUR,Vous partez demain matin à l’aube. Bonne chance.
GAUVAIN,Nous y voilà.
YVAIN,Si on rentrait et qu’on leur disait qu’on n’a pas retrouvé le chemin ?
GAUVAIN,Nous passerons à coup sûr pour des pleutres !
YVAIN,La couleur pleutre ?
GAUVAIN,Cet endroit est des plus angoissants ! Et cette porte n’est pas pour me ragaillardir !
GAUVAIN,Seulement… Avons-nous pensé à quelque outil pour crocheter cette serrure ?
YVAIN,Elle ne m’a pas l’air bien de mise !
GAUVAIN,C’est-à-dire ?
YVAIN,J’aime bien dire que les trucs ne sont pas de mise. Je trouve ça hyper classe.
YVAIN,C’est vous qui pétez ?
GAUVAIN,La peur me provoque d’horribles contractions…
YVAIN,Vous pouvez arrêter ?
GAUVAIN,On ne peut pas continuer à progresser de la sorte !
YVAIN,On n’y voit pas plus loin qu’à l’aveuglette !
YVAIN,Votre oncle dit qu’il n’y a pas de lieu hanté sans trésor.
GAUVAIN,Il n’y a pas non plus de lieu hanté sans morts-vivants !
YVAIN,Ça vous embête si on parle pas de ça maintenant ?
YVAIN,Ouais… On reste ici jusqu’à ce qu’on trouve le trésor !
GAUVAIN,Comment allons-nous expliquer cela à mon oncle ?
YVAIN,Il va encore dire qu’on est de couleur pleutre !
GAUVAIN,Pourrons-nous supporter une nouvelle humiliation ?
GAUVAIN,Allez !
GAUVAIN,Mais… la grille s'est verrouillée !
YVAIN,Quoi ? Mais…
GAUVAIN,Nous ne pouvons plus entrer !
YVAIN,Nous sommes obligés de rentrer à Kaamelott pour chercher des outils de crochetage !
GAUVAIN,Vous savez crocheter les portes ?
YVAIN,On reviendra encore et on dira que c’est pas les bons outils !
ARTHUR,Qu’est-ce que c'est que ce brignolet ? C’est une blague ?
LÉODAGAN,S’il y avait que ça ! Vous avez vu le vin ?
